# Dirsearch started Thu Nov 10 02:10:26 2022 as: ./dirsearch.py -w /usr/share/wordlists/SecLists/Discovery/Web-Content/raft-medium-words.txt -e php -f -t 50 -u http://metapress.htb/events/ -o /home/kali/HTB/Machines/MetaTwo_NF/recon/events/raft-medium-words.txt

404   555B   http://metapress.htb/events/.css
404   555B   http://metapress.htb/events/.js
200   722B   http://metapress.htb/events/feed/
301     0B   http://metapress.htb/events/feed    -> REDIRECTS TO: http://metapress.htb/events/feed/
302     0B   http://metapress.htb/events/trackback    -> REDIRECTS TO: http://metapress.htb/events/
302     0B   http://metapress.htb/events/trackback/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/rss    -> REDIRECTS TO: http://metapress.htb/events/feed/
301     0B   http://metapress.htb/events/rss/    -> REDIRECTS TO: http://metapress.htb/events/feed/
404   555B   http://metapress.htb/events/.gif
404   555B   http://metapress.htb/events/.jpg
301     0B   http://metapress.htb/events/404    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/404/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/about    -> REDIRECTS TO: http://metapress.htb/about-us/
301     0B   http://metapress.htb/events/about/    -> REDIRECTS TO: http://metapress.htb/about-us/
404   555B   http://metapress.htb/events/.png
301     0B   http://metapress.htb/events/1    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/1/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2010    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2010/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2009/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2009    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/a    -> REDIRECTS TO: http://metapress.htb/about-us/
301     0B   http://metapress.htb/events/a/    -> REDIRECTS TO: http://metapress.htb/about-us/
301     0B   http://metapress.htb/events/c    -> REDIRECTS TO: http://metapress.htb/cancel-appointment/
301     0B   http://metapress.htb/events/c/    -> REDIRECTS TO: http://metapress.htb/cancel-appointment/
404   555B   http://metapress.htb/events/.ico
301     0B   http://metapress.htb/events/2011    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2011/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2008    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2008/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/events    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/events/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/3    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/3/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/5    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/5/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2007    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2007/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/s    -> REDIRECTS TO: http://metapress.htb/sample-page/
301     0B   http://metapress.htb/events/s/    -> REDIRECTS TO: http://metapress.htb/sample-page/
301     0B   http://metapress.htb/events/.    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/7/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/7    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/t    -> REDIRECTS TO: http://metapress.htb/thank-you/
301     0B   http://metapress.htb/events/t/    -> REDIRECTS TO: http://metapress.htb/thank-you/
301     0B   http://metapress.htb/events/8    -> REDIRECTS TO: http://metapress.htb/events/
